,train,test,column,skipped,model,acc1,acc2,acc3,mean_acc,accuracy
181,electronics,lego,pos,onlyADJ,cnn_gru,"0,817","0,817","0,818","0,8173333333",0.8173333333
182,electronics,toys,pos,onlyADJ,cnn_gru,"0,673","0,674","0,674","0,6736666667",0.6736666667
183,electronics,electronics,pos,onlyADJ,cnn_gru,"0,672","0,672","0,672","0,672",0.672
184,electronics,home,combined,ADJ,cnn_gru,"0,885","0,881","0,882","0,8826666667",0.8826666667
185,electronics,lego,combined,ADJ,cnn_gru,"0,881","0,879","0,872","0,8773333333",0.8773333333
186,electronics,toys,combined,ADJ,cnn_gru,"0,892","0,893","0,895","0,8933333333",0.8933333333
187,electronics,electronics,combined,ADJ,cnn_gru,"0,916","0,921","0,918","0,9183333333",0.9183333333
188,electronics,home,combined,onlyADJ,cnn_gru,"0,806","0,804","0,814","0,808",0.808
189,electronics,lego,combined,onlyADJ,cnn_gru,"0,817","0,879","0,834","0,8433333333",0.8433333333
190,electronics,toys,combined,onlyADJ,cnn_gru,"0,776","0,803","0,788","0,789",0.789
191,electronics,electronics,combined,onlyADJ,cnn_gru,"0,823","0,819","0,819","0,8203333333",0.8203333333
192,electronics,home,raw,ADJ,lstm,"0,849","0,865",,"0,857",0.857
193,electronics,lego,raw,ADJ,lstm,"0,87","0,876",,"0,873",0.873
194,electronics,toys,raw,ADJ,lstm,"0,876","0,887",,"0,8815",0.8815
195,electronics,electronics,raw,ADJ,lstm,"0,895","0,913",,"0,904",0.904
196,electronics,home,raw,onlyADJ,lstm,"0,602","0,602",,"0,602",0.602
197,electronics,lego,raw,onlyADJ,lstm,"0,817","0,817",,"0,817",0.817
198,electronics,toys,raw,onlyADJ,lstm,"0,673","0,673",,"0,673",0.673
199,electronics,electronics,raw,onlyADJ,lstm,"0,672","0,672",,"0,672",0.672
200,electronics,home,pos,ADJ,lstm,"0,692","0,661",,"0,6765",0.6765
201,electronics,lego,pos,ADJ,lstm,"0,804","0,758",,"0,781",0.781
202,electronics,toys,pos,ADJ,lstm,"0,748","0,723",,"0,7355",0.7355
203,electronics,electronics,pos,ADJ,lstm,"0,752","0,733",,"0,7425",0.7425
204,electronics,home,pos,onlyADJ,lstm,"0,602","0,602",,"0,602",0.602
205,electronics,lego,pos,onlyADJ,lstm,"0,817","0,817",,"0,817",0.817
206,electronics,toys,pos,onlyADJ,lstm,"0,673","0,673",,"0,673",0.673
207,electronics,electronics,pos,onlyADJ,lstm,"0,672","0,672",,"0,672",0.672
208,electronics,home,combined,ADJ,lstm,"0,879","0,874",,"0,8765",0.8765
209,electronics,lego,combined,ADJ,lstm,"0,887","0,896",,"0,8915",0.8915
210,electronics,toys,combined,ADJ,lstm,"0,871","0,887",,"0,879",0.879
211,electronics,electronics,combined,ADJ,lstm,"0,907","0,908",,"0,9075",0.9075
212,electronics,home,combined,onlyADJ,lstm,"0,602","0,602",,"0,602",0.602
213,electronics,lego,combined,onlyADJ,lstm,"0,817","0,817",,"0,817",0.817
214,electronics,toys,combined,onlyADJ,lstm,"0,673","0,673",,"0,673",0.673
215,electronics,electronics,combined,onlyADJ,lstm,"0,672","0,672",,"0,672",0.672
216,electronics,home,raw,ADJ,gru,"0,875","0,881","0,875","0,877",0.877
217,electronics,lego,raw,ADJ,gru,"0,895","0,864","0,879","0,8793333333",0.8793333333
218,electronics,toys,raw,ADJ,gru,"0,882","0,888","0,884","0,8846666667",0.8846666667
219,electronics,electronics,raw,ADJ,gru,"0,915","0,917","0,916","0,916",0.916
220,electronics,home,raw,onlyADJ,gru,"0,602","0,812","0,812","0,742",0.742
221,electronics,lego,raw,onlyADJ,gru,"0,817","0,852","0,826","0,8316666667",0.8316666667
222,electronics,toys,raw,onlyADJ,gru,"0,673","0,797","0,793","0,7543333333",0.7543333333
223,electronics,electronics,raw,onlyADJ,gru,"0,672","0,824","0,816","0,7706666667",0.7706666667
224,electronics,home,pos,ADJ,gru,"0,706","0,725","0,716","0,7156666667",0.7156666667
225,electronics,lego,pos,ADJ,gru,"0,825","0,803","0,805","0,811",0.811
226,electronics,toys,pos,ADJ,gru,"0,756","0,761","0,755","0,7573333333",0.7573333333
227,electronics,electronics,pos,ADJ,gru,"0,772","0,781","0,78","0,7776666667",0.7776666667
228,electronics,home,pos,onlyADJ,gru,"0,602","0,602","0,602","0,602",0.602
229,electronics,lego,pos,onlyADJ,gru,"0,817","0,786","0,818","0,807",0.807
230,electronics,toys,pos,onlyADJ,gru,"0,673","0,668","0,674","0,6716666667",0.6716666667
231,electronics,electronics,pos,onlyADJ,gru,"0,672","0,671","0,672","0,6716666667",0.6716666667
232,electronics,home,combined,ADJ,gru,"0,874","0,88","0,871","0,875",0.875
233,electronics,lego,combined,ADJ,gru,"0,877","0,887","0,862","0,8753333333",0.8753333333
234,electronics,toys,combined,ADJ,gru,"0,864","0,885","0,885","0,878",0.878
235,electronics,electronics,combined,ADJ,gru,"0,905","0,917","0,917","0,913",0.913
236,electronics,home,combined,onlyADJ,gru,"0,602","0,81","0,805","0,739",0.739
237,electronics,lego,combined,onlyADJ,gru,"0,817","0,845","0,858","0,84",0.84
238,electronics,toys,combined,onlyADJ,gru,"0,673","0,795","0,794","0,754",0.754
239,electronics,electronics,combined,onlyADJ,gru,"0,672","0,819","0,827","0,7726666667",0.7726666667
240,electronics,home,raw,ADV,cnn,"0,902","0,898","0,871","0,8903333333",0.8903333333
241,electronics,lego,raw,ADV,cnn,"0,923","0,911","0,922","0,9186666667",0.9186666667
242,electronics,toys,raw,ADV,cnn,"0,915","0,906","0,887","0,9026666667",0.9026666667
243,electronics,electronics,raw,ADV,cnn,"0,923","0,926","0,904","0,9176666667",0.9176666667
244,electronics,home,raw,onlyADV,cnn,"0,721","0,715","0,72","0,7186666667",0.7186666667
245,electronics,lego,raw,onlyADV,cnn,"0,755","0,729","0,751","0,745",0.745
246,electronics,toys,raw,onlyADV,cnn,"0,757","0,743","0,74","0,7466666667",0.7466666667
247,electronics,electronics,raw,onlyADV,cnn,"0,763","0,748","0,751","0,754",0.754
248,electronics,home,pos,ADV,cnn,"0,687","0,679","0,686","0,684",0.684
249,electronics,lego,pos,ADV,cnn,"0,797","0,811","0,788","0,7986666667",0.7986666667
250,electronics,toys,pos,ADV,cnn,"0,732","0,732","0,732","0,732",0.732
251,electronics,electronics,pos,ADV,cnn,"0,762","0,756","0,763","0,7603333333",0.7603333333
252,electronics,home,pos,onlyADV,cnn,"0,602","0,602","0,602","0,602",0.602
