train,test,column1,column2,skip1,skip2,model1,model2,acc1,acc2,mean_acc,compl_acc,conf,cer1,cer2,c_cer1,c_cer2,i_cer1,i_cer2,both_correct,1correct,2correct,none
electronics,elec,combined,pos,,,cnn_gru,cnn_gru,0.93925,0.798,0.93275,0.93425,0.15,0.427,0.2432,0.4404,0.265,0.2192,0.1571,0.7745,0.16475,0.0235,0.03725
electronics,home,combined,raw,,,cbow_bn,cbow_bn,0.86775,0.87,0.8785,0.8755,0.15,0.3759,0.3636,0.3992,0.3874,0.223,0.204,0.8315,0.03625,0.0385,0.09375
electronics,toys,combined,raw,,,cbow_bn,cbow_bn,0.88825,0.87975,0.8895,0.88725,0.15,0.3857,0.3694,0.40667,0.3912,0.2191,0.2101,0.84725,0.041,0.0325,0.07925
electronics,lego,combined,raw,,,cbow_bn,cbow_bn,0.9223,0.89199,0.91141,0.9126,0.15,0.3817,0.3705,0.3958,0.38898,0.2139,0.2178,0.8774,0.0449,0.01456,0.0631
electronics,elec,combined,raw,,,cbow_bn,cbow_bn,0.90575,0.90075,0.908,0.90825,0.15,0.39557,0.39769,0.4143,0.3972,0.2156,0.1936,0.87175,0.034,0.029,0.06525
electronics,home,raw,combined,,,cbow_bn,cbow_bn,0.86725,0.87525,0.87425,0.8715,0.15,0.3704,0.3623,0.3935,0.384,0.2198,0.2092,0.835,0.03225,0.04025,0.0925
electronics,toys,raw,combined,,,cbow_bn,cbow_bn,0.88,0.877,0.8845,0.88225,0.15,0.3679,0.3619,0.39,0.3847,0.2057,0.2,0.84475,0.03525,0.03225,0.08775
electronics,lego,raw,combined,,,cbow_bn,cbow_bn,0.8616,0.8471,0.8665,0.8617,0.15,0.3621,0.351,0.3946,0.3801,0.1595,0.1892,0.8167,0.0449,0.03,0.108
electronics,elec,raw,combined,,,cbow_bn,cbow_bn,0.90225,0.891,0.90525,0.90325,0.15,0.3828,0.3751,0.4023,0.397,0.2028,0.1964,0.864,0.03825,0.027,0.07075
electronics,home,raw,pos,,,cbow_bn,cbow_bn,0.8625,0.6385,0.85925,0.859,0.15,0.376,0.1634,0.3989,0.1808,0.2328,0.1329,0.5665,0.296,0.072,0.0655
electronics,toys,raw,pos,,,cbow_bn,cbow_bn,0.863,0.7,0.87625,0.872,0.15,0.3692,0.2046,0.3916,0.2293,0.2285,0.1469,0.61625,0.24675,0.08375,0.05325
electronics,lego,raw,pos,,,cbow_bn,cbow_bn,0.8532,0.7949,0.9162,0.8677,0.15,0.3806,0.2479,0.39909,0.268,0.27296,0.1699,0.6881,0.165,0.1068,0.04
electronics,elec,raw,pos,,,cbow_bn,cbow_bn,0.88875,0.70925,0.89275,0.89,0.15,0.385,0.2153,0.40396,0.240974,0.2337,0.1528,0.64575,0.243,0.0635,0.04775
